[2026-04-10 09:37:21] INTERESTING | Clean Mismatch Found!
[2026-04-12 21:48:50] REJECTED | Driver structure corrupted or modified
[2026-04-12 21:51:23] REJECTED | Bug -O2 Compile Fail
[2026-04-12 21:56:20] INTERESTING | Clean Mismatch Found!
[2026-04-12 21:59:28] REJECTED | Bug -O2 Compile Fail
[2026-04-12 21:59:46] REJECTED | Bug -O2 Compile Fail
[2026-04-12 22:00:08] REJECTED | Bug lost (CRCs match)
[2026-04-12 22:02:45] REJECTED | Bug lost (CRCs match)
[2026-04-12 22:58:27] REJECTED | Bug -O2 Compile Fail
[2026-04-12 23:06:15] REJECTED | Bug lost (CRCs match)
[2026-04-12 23:07:57] INTERESTING | Clean Mismatch Found!
[2026-04-12 23:08:17] INTERESTING | Clean Mismatch Found!
[2026-04-12 23:11:55] REJECTED | Bug lost (CRCs match)
[2026-04-12 23:15:43] REJECTED | Bug lost (CRCs match)
[2026-04-12 23:23:27] REJECTED | Bug lost (CRCs match)
[2026-04-12 23:26:50] REJECTED | Bug lost (CRCs match)
[2026-04-12 23:28:12] REJECTED | Bug lost (CRCs match)
[2026-04-12 23:28:32] REJECTED | Bug lost (CRCs match)
[2026-04-12 23:29:52] REJECTED | Bug lost (CRCs match)
[2026-04-12 23:30:32] INTERESTING | Clean Mismatch Found!
[2026-04-12 23:32:16] INTERESTING | Clean Mismatch Found!
[2026-04-17 14:31:50] REJECTED | Bug -O2 Runtime Fail/UB
[2026-04-17 14:51:28] REJECTED | Bug -O2 Runtime Fail/UB
[2026-04-17 16:17:09] REJECTED | Bug -O2 Runtime Fail/UB
[2026-04-17 16:19:27] INTERESTING | Clean Mismatch Found!
